self_brand,compatibility_category,detected_brands,title,product_brand,source_url,compatibility
Lenovo,self-only,Lenovo,Compatible Display 00UP061 14.0 in 1366x768 / HD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00up061-132965843,"Panel part numbers: 00UP061. Compatible laptop models: Lenovo IdeaPad 120S-14IAP (81A5), Lenovo B41-30 (80LF), Lenovo IdeaPad 320-14IAP (80XQ/81A2), Lenovo V145-14AST (81MS), Lenovo Yoga 500-14IBD (80NE), Lenovo IdeaPad 305-14IBD (80R1), Lenovo IdeaPad U430P, Lenovo E41-80 (80Q9/80QA), Lenovo ThinkPad E475 (20H4), Lenovo ThinkPad T460s (20FA/20F9). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00UR888 15.6 in 1920x1080 / FHD 40-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ur888-145101175,"Panel part numbers: 00UR888, 00UR889, 5D11U33486. Compatible laptop models: Lenovo ThinkPad T570 (20H9/20HA/20JW/20JX), Lenovo ThinkPad P51s (20HB/20HC/20JY/20K0), Lenovo ThinkPad T580 (20L9/20LA), Lenovo ThinkPad P52s (20LB/20LC). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00UR894 15.6 in 3840x2160 / UHD,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ur894-144656314,"Panel part numbers: 00UR894. Compatible laptop models: Lenovo ThinkPad T580 (20L9/20LA), Lenovo ThinkPad T570 (20H9/20HA/20JW/20JX), Lenovo ThinkPad P52s (20LB/20LC), Lenovo ThinkPad P51s (20HB/20HC/20JY/20K0). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 00UR897,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-00ur897-114123302,"Panel part numbers: 00UR897. Compatible laptop models: Lenovo ThinkPad P50s (20FL/20FK), Lenovo ThinkPad T560 (20FH/20FJ). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG915,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag915-114123902,"Panel part numbers: 01AG915. Compatible laptop models: Lenovo AIO IdeaCentre 310-20IAP (F0CL), Lenovo IdeaCentre AIO 310-20ASR (F0CK), Lenovo IdeaCentre AIO 330-20AST (F0D8), Lenovo IdeaCentre AIO 330-20IGM (F0D7), Lenovo IdeaCentre AIO 520-24ARR (F0DN), Lenovo V130-20IGM (10RX). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG920 21.5 in 1920x1080 / FHD 30-pin,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag920-125489215,"Panel part numbers: 01AG920. Compatible laptop models: Lenovo IdeaCentre A340-22IGM (F0EA), Lenovo V50a-22IMB (11FN), Lenovo IdeaCentre AIO 510-22ISH (F0CB), Lenovo ThinkCentre M70a Gen 3 (11VL), Lenovo ThinkCentre M70a Gen 3 (11VM), Lenovo ThinkCentre M70a Gen 3 (11VQ), Lenovo ThinkCentre M70a Gen 3 (11VN), Lenovo IdeaCentre AIO 3-22IAP7 (F0GG), Lenovo V30a-22IML (11FV/11FW). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG923 21.5 in 1920x1080 / FHD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag923-117793009,"Panel part numbers: 01AG923, SD10Q15946. Compatible laptop models: Lenovo ThinkCentre M70a Gen 3 (11VQ), Lenovo IdeaCentre AIO 3-22IIL (F0FQ), Lenovo IdeaCentre AIO A340, Lenovo IdeaCentre A340-22IGM (F0EA), Lenovo ThinkCentre M70a Gen 3 (11VL), Lenovo ThinkCentre M70a Gen 3 (11VM), Lenovo ThinkCentre M70a Gen 3 (11VN), Lenovo IdeaCentre AIO 3-22ADA05 (F0EX), Lenovo ThinkCentre M70a AIO (11CK). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG924 21.5 in 1920x1080 / FHD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag924-117793010,"Panel part numbers: 01AG924, SD10L24665. Compatible laptop models: Lenovo ThinkCentre M70a Gen 3 (11VN), Lenovo IdeaCentre AIO 3-22ADA05 (F0EX), Lenovo IdeaCentre AIO 510-22ASR (F0CC), Lenovo IdeaCentre AIO A340, Lenovo IdeaCentre A340-22IGM (F0EA), Lenovo ThinkCentre M70a Gen 3 (11VL), Lenovo ThinkCentre M70a Gen 3 (11VM), Lenovo ThinkCentre M70a Gen 3 (11VQ). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG958 21.5 in 1920x1080 / FHD 30-pin,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag958-125489216,"Panel part numbers: 01AG958. Compatible laptop models: Lenovo ThinkCentre M70a AIO (11CK), Lenovo IdeaCentre AIO 520-22AST (F0D6), Lenovo ThinkCentre M820z (10S9/10SC/10SD), Lenovo ThinkCentre M70a Gen 3 (11VL), Lenovo ThinkCentre M70a Gen 3 (11VM), Lenovo ThinkCentre M70a Gen 3 (11VQ), Lenovo ThinkCentre M70a Gen 3 (11VN), Lenovo IdeaCentre AIO 3-22IAP7 (F0GG), Lenovo V30a-22IML (11FV/11FW), Lenovo IdeaCentre A340-22IGM (F0EA). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG959 21.5 in 1920x1080 / FHD 30-pin,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag959-125489217,"Panel part numbers: 01AG959. Compatible laptop models: Lenovo ThinkCentre M70a AIO (11E2), Lenovo IdeaCentre AIO 3-22IMB05 (F0EV), Lenovo IdeaCentre AIO 510-23ASR (F0CC), Lenovo IdeaCentre AIO 520-22ICB (F0DT), Lenovo ThinkCentre M70a Gen 3 (11VL), Lenovo ThinkCentre M70a Gen 3 (11VM), Lenovo ThinkCentre M70a Gen 3 (11VQ), Lenovo ThinkCentre M70a Gen 3 (11VN), Lenovo IdeaCentre AIO 3-22IAP7 (F0GG), Lenovo V30a-22IML (11FV/11FW). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG960 21.5 in 1920x1080 / FHD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag960-117793011,"Panel part numbers: 01AG960, SD10Q15948. Compatible laptop models: Lenovo ThinkCentre M70a AIO (11CK), Lenovo IdeaCentre A340-22AST (F0EQ), Lenovo IdeaCentre AIO A340, Lenovo IdeaCentre A340-22IGM (F0EA), Lenovo ThinkCentre M70a Gen 3 (11VL), Lenovo ThinkCentre M70a Gen 3 (11VM), Lenovo ThinkCentre M70a Gen 3 (11VQ), Lenovo ThinkCentre M70a Gen 3 (11VN), Lenovo IdeaCentre AIO 3-22ADA05 (F0EX). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG968 23.8 in 1920x1080 / FHD 30-pin LVDS,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag968-69360250,"Panel part numbers: 01AG968, LTM238HL06, LJ96-06501E, SD10L24662, 01EF713, 01EF767, LTM238HL06 M04, LTM238HL06 M05. Compatible laptop models: Lenovo IdeaCentre AIO A340, Lenovo ThinkCentre M920z, Lenovo V530-24ICB (10UW/10UX), Lenovo IdeaCentre AIO 520-24IKL (F0D1), Lenovo IdeaCentre AIO 520-24ICB (F0DJ), Lenovo IdeaCentre AIO 520-24IKU (F0D2), Lenovo V540-24IWL (10YS), Lenovo IdeaCentre AIO 520-24AST (F0D3), Lenovo IdeaCentre AIO 520-24ARR (F0DN). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG986 23.8 in 1920x1080 / FHD 30-pin LVDS,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag986-81216972,"Panel part numbers: 01AG986, 01AG977, 01AG978, L3F218B08293, L3F219124537, L3F410726874. Compatible laptop models: Lenovo V50a-24IMB (11FL), Lenovo M90a Desktop (11CD), Lenovo ThinkCentre M920z, Lenovo IdeaCentre AIO 520-24ARR (F0DN), Lenovo V540-24IWL (10YS), Lenovo IdeaCentre AIO A340, Lenovo IdeaCentre AIO 520-24AST (F0D3), Lenovo ThinkCentre M910z (10NR/10NS/10NT/10NU/10NV), Lenovo IdeaCentre A340-24ICK (F0ER), Lenovo V530-24ICB (10UW/10UX). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AG987 21.5 in 1920x1080 / FHD 30-pin eDP,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ag987-117793012,"Panel part numbers: 01AG987. Compatible laptop models: Lenovo IdeaCentre AIO A340, Lenovo ThinkCentre M70a AIO (11E2), Lenovo IdeaCentre A340-22IGM (F0EA), Lenovo ThinkCentre M70a Gen 3 (11VL), Lenovo ThinkCentre M70a Gen 3 (11VM), Lenovo ThinkCentre M70a Gen 3 (11VQ), Lenovo ThinkCentre M70a Gen 3 (11VN), Lenovo IdeaCentre AIO 3-22ADA05 (F0EX), Lenovo ThinkCentre M70a AIO (11CK). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
Lenovo,self-only,Lenovo,Compatible Display 01AY470,Lenovo,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-01ay470-145202905,"Panel part numbers: 01AY470. Compatible laptop models: Lenovo ThinkPad E580 (20KS/20KT), Lenovo ThinkPad E585 (20KV), Lenovo ThinkPad E590 (20NB/20NC), Lenovo ThinkPad E595 (20NF), Lenovo ThinkPad T570 (20H9/20HA/20JW/20JX). Match screen size, resolution, connector pins, connector position and bracket style before ordering."
